case_study_desc,case_study,fishery_scale_small_or_large,fishery_location
Stalked barnacle fishery in Galicia (NW Spain),Aguion,Small-scale,coastal
NA,Burden,NA,NA
European Pelagic fisheries,Dickey_Collas,Large-scale,pelagic
Kiribati giant clam,Eurich,Small-scale,island
California Dungeness crab fishery,Free,Small-scale,coastal
Fijian nearshore fisheries,Friedman,Small-scale,island
Mixed coral reef fishery in northeastern Madagascar,Golden,Small-scale,coastal
Bering Sea Groundfish,Hollowed,Large-scale,pelagic
Juan Fernandez Islands,Kleisner,Small-scale,island
Papua New Guinea reef fishery,Lau,Small-scale,island
Iceland's commercial fisheries,Mason,Large-scale,pelagic
Maine lobster,Mills,Small-scale,coastal
Southern Rock Lobster,Pecl,Large-scale,coastal
Senegalese artisanal fisheries on small pelagics,Schmidt,Small-scale,pelagic
Japanese spiny lobster,Tokunaga,Small-scale,coastal
NA,Westfall,NA,NA
Moorea coral reef lagoon fishery,Zhao,Small-scale,island
