Dimension,attribute,score_avg,score_var,importance_avg,importance_var,precision_score,precision_importance
Ecological,Adult mobility,2.5,0.9705882352941176,2,0.7058823529411765,1.0303030303030303,1.4166666666666665
Governance,Cross-scale integration,2.6666666666666665,0.47058823529411764,2.3333333333333335,0.7058823529411765,2.125,1.4166666666666665
Ecological,Evolutionary potential,2.5,0.5,2.111111111111111,0.6928104575163399,2,1.4433962264150944
Ecological,Plasticity,2.6666666666666665,0.5882352941176471,1.8888888888888888,0.6928104575163399,1.7,1.4433962264150944
Socio-economic,Technology transfer,2.611111111111111,0.8398692810457516,2.111111111111111,0.6928104575163399,1.1906614785992218,1.4433962264150944
Ecological,Genetic diversity,2.888888888888889,0.5751633986928104,1.7222222222222223,0.6830065359477124,1.7386363636363638,1.464114832535885
Ecological,Species diversity,3.2222222222222223,0.5359477124183006,2.2777777777777777,0.6830065359477124,1.8658536585365855,1.464114832535885
Ecological,Habitat diversity,2.611111111111111,0.4869281045751634,2,0.5882352941176471,2.053691275167785,1.7
Socio-economic,Economic opportunity,2.7222222222222223,0.4477124183006536,2.3333333333333335,0.5882352941176471,2.233576642335766,1.7
Governance,Polycentric,2.7222222222222223,0.565359477124183,2.111111111111111,0.5751633986928104,1.7687861271676302,1.7386363636363638
Ecological,Dietary flexibility,3.0555555555555554,0.6437908496732027,1.9444444444444444,0.5261437908496732,1.5532994923857868,1.9006211180124224
Socio-economic,Mobility,2.4444444444444446,0.8496732026143791,2.5,0.5,1.176923076923077,2
Ecological,Ecosystem connectivity,3.388888888888889,0.369281045751634,2.5555555555555554,0.49673202614379086,2.7079646017699113,2.013157894736842
Governance,Effective and efficient,2.5555555555555554,0.6143790849673203,2.4444444444444446,0.49673202614379086,1.627659574468085,2.013157894736842
Governance,Adaptive,2.888888888888889,0.8104575163398693,2.611111111111111,0.4869281045751634,1.2338709677419355,2.053691275167785
Socio-economic,Flexible and agile infrastructure,2.5,0.8529411764705882,2.388888888888889,0.4869281045751634,1.1724137931034484,2.053691275167785
Socio-economic,Place attachment,3.611111111111111,0.369281045751634,2.611111111111111,0.4869281045751634,2.7079646017699113,2.053691275167785
Ecological,Population modularity,2.3333333333333335,0.9411764705882353,2,0.47058823529411764,1.0625,2.125
Governance,Leadership and initiative,3.111111111111111,0.5751633986928104,2.3333333333333335,0.47058823529411764,1.7386363636363638,2.125
Governance,Transparent,2.888888888888889,0.5751633986928104,2.2777777777777777,0.4477124183006536,1.7386363636363638,2.233576642335766
Ecological,Age structure,2.5,0.5,2.2222222222222223,0.41830065359477125,2,2.390625
Governance,Accountable,3.111111111111111,0.6928104575163399,2.2222222222222223,0.41830065359477125,1.4433962264150944,2.390625
Socio-economic,Modular infrastructure,2.3333333333333335,0.47058823529411764,1.7777777777777777,0.41830065359477125,2.125,2.390625
Socio-economic,Social diversity,2.4444444444444446,0.49673202614379086,1.7777777777777777,0.41830065359477125,2.013157894736842,2.390625
Ecological,Environmental niche breadth,2.7222222222222223,0.3300653594771242,2.5555555555555554,0.3790849673202614,3.0297029702970297,2.637931034482759
Ecological,Larval dispersal,3.2777777777777777,0.4477124183006536,2.4444444444444446,0.3790849673202614,2.233576642335766,2.637931034482759
Governance,Equitable and inclusive,2.6666666666666665,0.47058823529411764,2.4444444444444446,0.3790849673202614,2.125,2.637931034482759
Socio-economic,Agency,3.1666666666666665,0.38235294117647056,2.4444444444444446,0.3790849673202614,2.6153846153846154,2.637931034482759
Socio-economic,Social capital,3.4444444444444446,0.3790849673202614,2.5555555555555554,0.3790849673202614,2.637931034482759,2.637931034482759
Socio-economic,Wealth and reserves,3,0.5882352941176471,2.5555555555555554,0.3790849673202614,1.7,2.637931034482759
Governance,Participatory,3.111111111111111,0.5751633986928104,2.611111111111111,0.369281045751634,1.7386363636363638,2.7079646017699113
Socio-economic,Knowledge access,2.7777777777777777,0.8888888888888888,2.3333333333333335,0.35294117647058826,1.125,2.833333333333333
Socio-economic,Knowledge diversity,3.0555555555555554,0.4084967320261438,2.1666666666666665,0.2647058823529412,2.448,3.7777777777777777
Governance,Responsive,2.7777777777777777,0.6535947712418301,2.611111111111111,0.25163398692810457,1.53,3.9740259740259742
Ecological,Population abundance,3,0.5882352941176471,2.7222222222222223,0.21241830065359477,1.7,4.707692307692308
Socio-economic,Resilience mindset,3.0555555555555554,0.4084967320261438,2.7222222222222223,0.21241830065359477,2.448,4.707692307692308
Socio-economic,Economic diversity,2.388888888888889,0.4869281045751634,2.7777777777777777,0.1830065359477124,2.053691275167785,5.464285714285714
Socio-economic,Learning capacity,3.388888888888889,0.369281045751634,2.7777777777777777,0.1830065359477124,2.7079646017699113,5.464285714285714
